X,CH1,CH2,
Second,Volt,Volt,
9.20e-01,1.36e+00,1.36e+00,
9.24e-01,1.60e+00,1.34e+00,
9.28e-01,1.52e+00,1.34e+00,
9.32e-01,1.20e+00,1.40e+00,
9.36e-01,1.28e+00,1.40e+00,
9.40e-01,1.60e+00,1.36e+00,
9.44e-01,1.52e+00,1.36e+00,
9.48e-01,1.20e+00,1.40e+00,
9.52e-01,1.28e+00,1.36e+00,
9.56e-01,1.60e+00,1.40e+00,
9.60e-01,1.52e+00,1.36e+00,
9.64e-01,1.20e+00,1.40e+00,
9.68e-01,1.20e+00,1.44e+00,
9.72e-01,1.60e+00,1.36e+00,
9.76e-01,1.60e+00,1.36e+00,
9.80e-01,1.04e+00,1.40e+00,
9.84e-01,1.20e+00,1.40e+00,
9.88e-01,1.52e+00,1.36e+00,
9.92e-01,1.60e+00,1.36e+00,
9.96e-01,1.20e+00,1.34e+00,
1.00e+00,1.20e+00,1.34e+00,
1.00e+00,1.52e+00,1.36e+00,
1.01e+00,1.52e+00,1.34e+00,
1.01e+00,1.04e+00,1.32e+00,
1.02e+00,1.04e+00,1.36e+00,
1.02e+00,1.44e+00,1.32e+00,
1.02e+00,1.52e+00,1.32e+00,
1.03e+00,1.04e+00,1.28e+00,
1.03e+00,1.04e+00,1.28e+00,
1.04e+00,1.36e+00,1.30e+00,
1.04e+00,1.36e+00,1.28e+00,
1.04e+00,1.20e+00,1.24e+00,
1.05e+00,1.04e+00,1.24e+00,
1.05e+00,1.36e+00,1.26e+00,
1.06e+00,1.44e+00,1.26e+00,
1.06e+00,1.20e+00,1.22e+00,
1.06e+00,1.04e+00,1.24e+00,
1.07e+00,1.28e+00,1.28e+00,
1.07e+00,1.52e+00,1.28e+00,
1.08e+00,1.28e+00,1.24e+00,
1.08e+00,1.12e+00,1.24e+00,
1.08e+00,1.28e+00,1.28e+00,
1.09e+00,1.28e+00,1.28e+00,
1.09e+00,1.44e+00,1.24e+00,
1.10e+00,1.28e+00,1.24e+00,
1.10e+00,1.04e+00,1.28e+00,
1.10e+00,1.12e+00,1.28e+00,
1.11e+00,1.52e+00,1.22e+00,
1.11e+00,1.44e+00,1.22e+00,
1.12e+00,1.20e+00,1.26e+00,
1.12e+00,1.12e+00,1.26e+00,
1.12e+00,1.52e+00,1.28e+00,
1.13e+00,1.36e+00,1.28e+00,
1.13e+00,1.04e+00,1.26e+00,
1.14e+00,1.12e+00,1.28e+00,
1.14e+00,1.44e+00,1.24e+00,
1.14e+00,1.36e+00,1.26e+00,
1.15e+00,1.04e+00,1.24e+00,
1.15e+00,1.04e+00,1.26e+00,
1.16e+00,1.44e+00,1.28e+00,
1.16e+00,1.36e+00,1.26e+00,
1.16e+00,1.04e+00,1.24e+00,
1.17e+00,1.04e+00,1.28e+00,
1.17e+00,1.52e+00,1.26e+00,
1.18e+00,1.44e+00,1.26e+00,
1.18e+00,1.12e+00,1.22e+00,
