X,CH1,CH2,
Second,Volt,Volt,
2.28e-01,5.20e-01,2.96e-01,
2.32e-01,2.80e-01,3.04e-01,
2.36e-01,-5.60e-02,3.44e-01,
2.40e-01,1.60e-01,3.44e-01,
2.44e-01,4.80e-01,3.04e-01,
2.48e-01,3.36e-01,2.96e-01,
2.52e-01,-5.60e-02,3.36e-01,
2.56e-01,1.20e-01,3.44e-01,
2.60e-01,4.96e-01,2.96e-01,
2.64e-01,3.20e-01,2.80e-01,
2.68e-01,-9.60e-02,3.20e-01,
2.72e-01,0.00e+00,3.20e-01,
2.76e-01,4.40e-01,2.80e-01,
2.80e-01,4.00e-01,2.96e-01,
2.84e-01,-1.36e-01,2.64e-01,
2.88e-01,0.00e+00,3.04e-01,
2.92e-01,4.56e-01,2.56e-01,
2.96e-01,4.00e-01,2.72e-01,
3.00e-01,-9.60e-02,2.48e-01,
3.04e-01,-7.99e-02,2.88e-01,
3.08e-01,4.00e-01,2.56e-01,
3.12e-01,4.00e-01,2.40e-01,
3.16e-01,-1.36e-01,2.64e-01,
3.20e-01,-1.36e-01,2.40e-01,
3.24e-01,4.16e-01,2.72e-01,
3.28e-01,4.40e-01,2.56e-01,
3.32e-01,-9.60e-02,2.24e-01,
3.36e-01,-9.60e-02,2.48e-01,
3.40e-01,4.00e-01,2.72e-01,
3.44e-01,4.00e-01,2.64e-01,
3.48e-01,-5.60e-02,2.24e-01,
3.52e-01,-1.60e-01,2.48e-01,
3.56e-01,3.76e-01,2.80e-01,
3.60e-01,4.40e-01,2.64e-01,
3.64e-01,-4.00e-02,2.24e-01,
3.68e-01,-1.36e-01,2.48e-01,
3.72e-01,2.80e-01,2.72e-01,
3.76e-01,4.00e-01,2.64e-01,
3.80e-01,5.60e-02,2.32e-01,
3.84e-01,-9.60e-02,2.40e-01,
3.88e-01,2.40e-01,2.72e-01,
3.92e-01,4.40e-01,2.72e-01,
3.96e-01,1.20e-01,2.32e-01,
4.00e-01,-1.20e-01,2.40e-01,
4.04e-01,2.00e-01,2.80e-01,
4.08e-01,4.00e-01,2.72e-01,
4.12e-01,1.76e-01,2.24e-01,
4.16e-01,-1.20e-01,2.40e-01,
4.20e-01,1.76e-01,2.72e-01,
4.24e-01,1.60e-01,2.72e-01,
4.28e-01,4.40e-01,2.32e-01,
4.32e-01,2.16e-01,2.32e-01,
4.36e-01,-9.60e-02,2.72e-01,
4.40e-01,1.20e-01,2.80e-01,
4.44e-01,4.40e-01,2.40e-01,
4.48e-01,2.80e-01,2.32e-01,
4.52e-01,-9.60e-02,2.80e-01,
4.56e-01,0.00e+00,2.72e-01,
4.60e-01,4.56e-01,2.32e-01,
4.64e-01,3.60e-01,2.32e-01,
4.68e-01,-1.36e-01,2.72e-01,
4.72e-01,-4.00e-02,2.72e-01,
4.76e-01,4.40e-01,2.40e-01,
4.80e-01,3.60e-01,2.32e-01,
4.84e-01,-9.60e-02,2.80e-01,
4.88e-01,-5.60e-02,2.80e-01,
4.92e-01,4.40e-01,2.48e-01,
4.96e-01,4.16e-01,2.32e-01,
5.00e-01,-1.36e-01,2.64e-01,
5.04e-01,-1.36e-01,2.72e-01,
5.08e-01,4.16e-01,2.40e-01,
5.12e-01,4.16e-01,2.32e-01,
5.16e-01,-7.99e-02,2.56e-01,
5.20e-01,-1.20e-01,2.48e-01,
5.24e-01,4.00e-01,2.72e-01,
5.28e-01,4.40e-01,2.56e-01,
5.32e-01,-9.60e-02,2.24e-01,
5.36e-01,-1.36e-01,2.40e-01,
5.40e-01,4.00e-01,2.72e-01,
5.44e-01,4.16e-01,2.64e-01,
5.48e-01,-9.60e-02,2.32e-01,
5.52e-01,-9.60e-02,2.48e-01,
5.56e-01,3.36e-01,2.72e-01,
5.60e-01,4.16e-01,2.64e-01,
5.64e-01,1.60e-02,2.24e-01,
5.68e-01,-1.36e-01,2.32e-01,
5.72e-01,2.80e-01,2.64e-01,
5.76e-01,4.40e-01,2.72e-01,
5.80e-01,7.99e-02,2.32e-01,
5.84e-01,-9.60e-02,2.32e-01,
5.88e-01,2.56e-01,2.64e-01,
5.92e-01,4.40e-01,2.72e-01,
5.96e-01,1.20e-01,2.32e-01,
6.00e-01,-1.36e-01,2.24e-01,
6.04e-01,1.60e-01,2.72e-01,
6.08e-01,2.00e-01,2.64e-01,
6.12e-01,4.16e-01,2.24e-01,
6.16e-01,1.60e-01,2.24e-01,
6.20e-01,-1.20e-01,2.72e-01,
6.24e-01,1.20e-01,2.56e-01,
6.28e-01,4.16e-01,2.32e-01,
6.32e-01,2.16e-01,2.24e-01,
6.36e-01,-1.36e-01,2.64e-01,
6.40e-01,7.99e-02,2.64e-01,
6.44e-01,4.40e-01,2.32e-01,
6.48e-01,2.80e-01,2.24e-01,
6.52e-01,-9.60e-02,2.64e-01,
6.56e-01,0.00e+00,2.72e-01,
6.60e-01,4.56e-01,2.40e-01,
6.64e-01,3.36e-01,2.32e-01,
6.68e-01,-9.60e-02,2.56e-01,
6.72e-01,-4.00e-02,2.72e-01,
6.76e-01,4.16e-01,2.48e-01,
6.80e-01,4.00e-01,2.32e-01,
6.84e-01,-5.60e-02,2.64e-01,
6.88e-01,-9.60e-02,2.80e-01,
6.92e-01,4.40e-01,2.56e-01,
6.96e-01,4.40e-01,2.48e-01,
7.00e-01,-9.60e-02,2.80e-01,
7.04e-01,-1.36e-01,2.88e-01,
7.08e-01,4.40e-01,2.56e-01,
7.12e-01,4.16e-01,2.64e-01,
7.16e-01,-1.20e-01,2.40e-01,
7.20e-01,-9.60e-02,2.56e-01,
7.24e-01,4.00e-01,2.88e-01,
7.28e-01,4.16e-01,2.56e-01,
7.32e-01,-5.60e-02,2.24e-01,
7.36e-01,-1.36e-01,2.32e-01,
7.40e-01,3.76e-01,2.56e-01,
7.44e-01,4.40e-01,2.56e-01,
7.48e-01,-5.60e-02,2.24e-01,
7.52e-01,-1.36e-01,2.32e-01,
7.56e-01,2.96e-01,2.56e-01,
7.60e-01,4.00e-01,2.56e-01,
7.64e-01,4.00e-02,2.16e-01,
7.68e-01,-1.36e-01,2.24e-01,
7.72e-01,2.80e-01,2.56e-01,
7.76e-01,4.00e-01,2.56e-01,
7.80e-01,5.60e-02,2.08e-01,
7.84e-01,-9.60e-02,2.16e-01,
7.88e-01,2.00e-01,2.56e-01,
7.92e-01,4.80e-01,2.56e-01,
7.96e-01,2.16e-01,2.24e-01,
8.00e-01,-9.60e-02,2.24e-01,
8.04e-01,2.56e-01,2.80e-01,
8.08e-01,5.76e-01,2.88e-01,
8.12e-01,2.56e-01,2.64e-01,
8.16e-01,3.20e-01,2.72e-01,
8.20e-01,-1.20e-01,3.44e-01,
8.24e-01,4.00e-02,3.44e-01,
8.28e-01,3.36e-01,2.96e-01,
8.32e-01,1.36e-01,2.88e-01,
8.36e-01,-2.96e-01,2.48e-01,
8.40e-01,-9.60e-02,2.56e-01,
8.44e-01,3.36e-01,1.60e-01,
8.48e-01,2.40e-01,1.68e-01,
8.52e-01,-1.76e-01,1.36e-01,
8.56e-01,-5.60e-02,1.76e-01,
8.60e-01,4.00e-01,1.36e-01,
8.64e-01,3.36e-01,1.52e-01,
8.68e-01,-1.20e-01,2.16e-01,
8.72e-01,-5.60e-02,1.92e-01,
8.76e-01,4.40e-01,2.24e-01,
8.80e-01,4.00e-01,2.08e-01,
8.84e-01,-9.60e-02,2.48e-01,
8.88e-01,-1.36e-01,2.56e-01,
8.92e-01,4.16e-01,2.24e-01,
8.96e-01,4.16e-01,2.24e-01,
9.00e-01,-1.36e-01,2.48e-01,
9.04e-01,-1.36e-01,2.64e-01,
9.08e-01,4.40e-01,2.32e-01,
9.12e-01,4.00e-01,2.24e-01,
9.16e-01,-9.60e-02,2.56e-01,
9.20e-01,-1.36e-01,2.40e-01,
9.24e-01,4.00e-01,2.72e-01,
9.28e-01,4.16e-01,2.56e-01,
9.32e-01,-9.60e-02,2.24e-01,
9.36e-01,-1.36e-01,2.48e-01,
9.40e-01,3.60e-01,2.72e-01,
9.44e-01,4.56e-01,2.80e-01,
9.48e-01,4.00e-02,2.40e-01,
9.52e-01,-9.60e-02,2.40e-01,
9.56e-01,2.80e-01,2.80e-01,
9.60e-01,4.16e-01,2.72e-01,
9.64e-01,4.00e-02,2.32e-01,
9.68e-01,-1.20e-01,2.48e-01,
9.72e-01,2.80e-01,2.80e-01,
9.76e-01,4.80e-01,2.80e-01,
9.80e-01,1.60e-01,2.32e-01,
9.84e-01,-9.60e-02,2.48e-01,
9.88e-01,1.60e-01,2.80e-01,
9.92e-01,4.40e-01,2.80e-01,
9.96e-01,1.60e-01,2.40e-01,
1.00e+00,2.40e-01,2.48e-01,
1.00e+00,-1.36e-01,2.80e-01,
1.01e+00,1.20e-01,2.88e-01,
1.01e+00,4.40e-01,2.56e-01,
1.02e+00,2.56e-01,2.56e-01,
1.02e+00,-9.60e-02,2.88e-01,
1.02e+00,1.20e-01,3.04e-01,
1.03e+00,4.56e-01,2.56e-01,
1.03e+00,2.80e-01,2.56e-01,
1.04e+00,-9.60e-02,3.12e-01,
1.04e+00,7.99e-02,3.12e-01,
1.04e+00,5.20e-01,2.80e-01,
1.05e+00,4.00e-01,2.72e-01,
1.05e+00,-5.60e-02,3.12e-01,
1.06e+00,5.60e-02,3.20e-01,
1.06e+00,4.80e-01,2.88e-01,
1.06e+00,4.16e-01,2.88e-01,
1.07e+00,-5.60e-02,3.20e-01,
1.07e+00,-5.60e-02,3.36e-01,
1.08e+00,4.96e-01,3.12e-01,
1.08e+00,4.80e-01,2.88e-01,
1.08e+00,-5.60e-02,3.36e-01,
1.09e+00,0.00e+00,3.20e-01,
1.09e+00,4.80e-01,3.44e-01,
1.10e+00,4.80e-01,2.88e-01,
1.10e+00,-5.60e-02,3.36e-01,
1.10e+00,-5.60e-02,3.20e-01,
1.11e+00,5.20e-01,3.44e-01,
1.11e+00,5.20e-01,3.28e-01,
1.12e+00,-5.60e-02,2.96e-01,
1.12e+00,-5.60e-02,3.44e-01,
1.12e+00,4.40e-01,2.96e-01,
1.13e+00,4.16e-01,3.20e-01,
1.13e+00,0.00e+00,2.80e-01,
1.14e+00,-1.36e-01,2.88e-01,
1.14e+00,3.20e-01,3.12e-01,
1.14e+00,4.80e-01,3.12e-01,
1.15e+00,1.60e-02,2.56e-01,
1.15e+00,-1.36e-01,2.56e-01,
1.16e+00,2.96e-01,2.88e-01,
1.16e+00,4.00e-01,2.80e-01,
1.16e+00,5.60e-02,2.40e-01,
1.17e+00,-1.36e-01,2.48e-01,
1.17e+00,2.40e-01,2.80e-01,
1.18e+00,4.40e-01,2.72e-01,
1.18e+00,1.36e-01,2.40e-01,
1.18e+00,-1.20e-01,2.40e-01,
1.19e+00,1.76e-01,2.80e-01,
1.19e+00,4.00e-01,2.72e-01,
1.20e+00,1.60e-01,2.32e-01,
