X,CH1,CH2,
Second,Volt,Volt,
8.76e-01,-5.76e-01,-7.68e-01,
8.80e-01,-5.92e-01,-7.76e-01,
8.84e-01,-7.44e-01,-7.04e-01,
8.88e-01,-7.36e-01,-7.12e-01,
8.92e-01,-5.28e-01,-6.72e-01,
8.96e-01,-5.36e-01,-6.80e-01,
9.00e-01,-7.68e-01,-6.48e-01,
9.04e-01,-7.28e-01,-6.56e-01,
9.08e-01,-5.44e-01,-6.24e-01,
9.12e-01,-5.44e-01,-6.48e-01,
9.16e-01,-6.96e-01,-6.16e-01,
9.20e-01,-7.04e-01,-6.40e-01,
9.24e-01,-5.76e-01,-6.08e-01,
9.28e-01,-5.28e-01,-6.32e-01,
9.32e-01,-6.64e-01,-6.00e-01,
9.36e-01,-6.96e-01,-6.24e-01,
9.40e-01,-5.84e-01,-6.00e-01,
9.44e-01,-4.72e-01,-5.92e-01,
9.48e-01,-6.40e-01,-6.24e-01,
9.52e-01,-7.04e-01,-6.08e-01,
9.56e-01,-5.92e-01,-5.84e-01,
9.60e-01,-4.96e-01,-6.08e-01,
9.64e-01,-6.00e-01,-5.76e-01,
9.68e-01,-6.80e-01,-6.16e-01,
9.72e-01,-5.60e-01,-5.84e-01,
9.76e-01,-4.64e-01,-5.68e-01,
9.80e-01,-5.92e-01,-5.92e-01,
9.84e-01,-5.76e-01,-5.84e-01,
9.88e-01,-6.56e-01,-5.52e-01,
9.92e-01,-5.84e-01,-5.44e-01,
9.96e-01,-4.40e-01,-5.68e-01,
1.00e+00,-5.28e-01,-5.60e-01,
1.00e+00,-6.24e-01,-5.36e-01,
1.01e+00,-5.44e-01,-5.52e-01,
1.01e+00,-4.08e-01,-5.20e-01,
1.02e+00,-4.64e-01,-5.28e-01,
1.02e+00,-6.00e-01,-5.12e-01,
1.02e+00,-5.44e-01,-5.20e-01,
1.03e+00,-3.84e-01,-4.80e-01,
1.03e+00,-4.16e-01,-5.04e-01,
1.04e+00,-5.60e-01,-4.72e-01,
1.04e+00,-5.44e-01,-4.64e-01,
1.04e+00,-3.12e-01,-4.72e-01,
1.05e+00,-3.36e-01,-4.64e-01,
1.05e+00,-5.44e-01,-4.32e-01,
1.06e+00,-5.20e-01,-4.56e-01,
1.06e+00,-3.28e-01,-4.24e-01,
1.06e+00,-3.44e-01,-4.32e-01,
1.07e+00,-5.44e-01,-4.56e-01,
1.07e+00,-5.44e-01,-4.40e-01,
1.08e+00,-3.60e-01,-4.16e-01,
1.08e+00,-3.92e-01,-4.24e-01,
1.08e+00,-6.08e-01,-4.56e-01,
1.09e+00,-5.92e-01,-4.40e-01,
1.09e+00,-4.72e-01,-4.64e-01,
1.10e+00,-4.80e-01,-4.64e-01,
1.10e+00,-6.80e-01,-5.04e-01,
1.10e+00,-6.96e-01,-4.96e-01,
1.11e+00,-5.28e-01,-5.36e-01,
1.11e+00,-5.20e-01,-5.20e-01,
1.12e+00,-6.96e-01,-5.60e-01,
1.12e+00,-7.20e-01,-5.52e-01,
1.12e+00,-5.92e-01,-5.84e-01,
1.13e+00,-5.28e-01,-5.68e-01,
1.13e+00,-7.12e-01,-6.08e-01,
1.14e+00,-7.60e-01,-5.92e-01,
1.14e+00,-6.08e-01,-6.24e-01,
1.14e+00,-5.44e-01,-6.00e-01,
1.15e+00,-6.64e-01,-6.32e-01,
1.15e+00,-7.44e-01,-6.16e-01,
1.16e+00,-6.24e-01,-6.40e-01,
1.16e+00,-5.60e-01,-6.16e-01,
1.16e+00,-6.48e-01,-6.40e-01,
1.17e+00,-6.48e-01,-6.16e-01,
1.17e+00,-7.36e-01,-6.56e-01,
1.18e+00,-6.64e-01,-6.16e-01,
1.18e+00,-5.76e-01,-6.48e-01,
1.18e+00,-6.48e-01,-6.48e-01,
1.19e+00,-7.44e-01,-6.24e-01,
1.19e+00,-6.80e-01,-6.48e-01,
1.20e+00,-5.60e-01,-6.16e-01,
1.20e+00,-6.16e-01,-6.24e-01,
1.20e+00,-7.44e-01,-6.48e-01,
1.21e+00,-6.96e-01,-6.48e-01,
1.21e+00,-5.28e-01,-6.16e-01,
1.22e+00,-5.92e-01,-6.16e-01,
1.22e+00,-7.52e-01,-6.56e-01,
1.22e+00,-7.12e-01,-6.48e-01,
1.23e+00,-5.60e-01,-6.16e-01,
1.23e+00,-5.84e-01,-6.48e-01,
1.24e+00,-7.28e-01,-6.24e-01,
1.24e+00,-7.28e-01,-6.48e-01,
1.24e+00,-5.44e-01,-6.08e-01,
1.25e+00,-5.60e-01,-6.48e-01,
1.25e+00,-7.60e-01,-6.16e-01,
1.26e+00,-7.36e-01,-6.48e-01,
1.26e+00,-5.60e-01,-6.24e-01,
1.26e+00,-5.76e-01,-6.16e-01,
1.27e+00,-7.44e-01,-6.48e-01,
1.27e+00,-7.28e-01,-6.16e-01,
1.28e+00,-5.68e-01,-6.48e-01,
1.28e+00,-5.44e-01,-6.48e-01,
1.28e+00,-7.12e-01,-6.24e-01,
1.29e+00,-7.44e-01,-6.48e-01,
1.29e+00,-5.52e-01,-6.16e-01,
1.30e+00,-5.60e-01,-6.48e-01,
1.30e+00,-7.68e-01,-6.16e-01,
1.30e+00,-7.44e-01,-6.16e-01,
1.31e+00,-5.92e-01,-6.48e-01,
1.31e+00,-5.44e-01,-6.24e-01,
1.32e+00,-7.12e-01,-6.56e-01,
1.32e+00,-7.44e-01,-6.48e-01,
1.32e+00,-6.08e-01,-6.16e-01,
1.33e+00,-5.60e-01,-6.48e-01,
1.33e+00,-6.80e-01,-6.24e-01,
1.34e+00,-7.44e-01,-6.48e-01,
1.34e+00,-6.16e-01,-6.16e-01,
1.34e+00,-5.60e-01,-6.24e-01,
1.35e+00,-6.96e-01,-6.48e-01,
1.35e+00,-7.68e-01,-6.56e-01,
1.36e+00,-6.40e-01,-6.24e-01,
